Day;Phase;New_cases;Theoretical cases;;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9;a10;b10;a11;b11;a12;b12;a13;b13;a14;b14;a15;b15;a16;b16;a17;b17;a18;b18;a19;b19;a20;b20
7;0.06024972212363987;0;550.0025428500576;;1.0;0.9981855344718586;0.0602132773657929;0.9927487224577402;0.1202080448993527;0.9837092937736098;0.1797665857255621;0.9711000518829505;0.2386727660059501;0.9549667548552552;0.2967128192734902;0.9353679493131484;0.3536761221763715;0.9123747579707272;0.4093559588156214;0.886070621534138;0.4635502709028509;0.8565509959010036;0.5160623910158527;0.8239230057575542;0.5667017562911176;0.7883050558305255;0.6152845999633277;0.7498264012045687;0.6616346182422783;0.7086266782644597;0.7055836101071777;0.6648553979642865;0.7469720876965552;0.6186714032625035;0.7856498550787143;0.5702422926917871;0.8214765533024142;0.5197438121555157;0.8543221697498269;0.4673592171580022;0.8840675099433636;0.4132786077829043;0.9106046300942162;0.3576982388331254;0.9338372288229252
14;0.12049944424727974;0;5.383084287119175;;1.0;0.9927487224577402;0.1202080448993527;0.9711000518829505;0.2386727660059501;0.9353679493131484;0.3536761221763715;0.886070621534138;0.4635502709028509;0.8239230057575542;0.5667017562911176;0.7498264012045687;0.6616346182422783;0.6648553979642865;0.7469720876965552;0.5702422926917871;0.8214765533024142;0.4673592171580022;0.8840675099433636;0.3576982388331254;0.9338372288229252;0.2428497220959356;0.9700639218515072;0.1244792638867893;0.9922222094179324;0.0043035382962442;0.99999073973619;-0.1159345995955004;0.9932568492674144;-0.2344913895704096;0.9721181966290612;-0.3496474552512284;0.9368813462954316;-0.4597327394521039;0.8880573226294932;-0.5631507242749186;0.8263541987239096;-0.6584015846980488;0.7526668275320085;-0.7441039398713607;0.6680638642135335
21;0.18074916637091962;0;-142.39083200456298;;1.0;0.9837092937736098;0.1797665857255621;0.9353679493131484;0.3536761221763716;0.8565509959010036;0.5160623910158527;0.7498264012045686;0.6616346182422783;0.6186714032625034;0.7856498550787144;0.4673592171580022;0.8840675099433636;0.3008198076356674;0.9536809966304456;0.1244792638867891;0.9922222094179324;-0.0559169901006031;0.9984354211555644;-0.2344913895704098;0.9721181966290612;-0.4054257283599972;0.9141279881853338;-0.5631507242749186;0.8263541987239096;-0.702527474169157;0.7116566222817746;-0.8190148866680801;0.5737722679043246;-0.9088176373395028;0.4171936026123168;-0.9690098257244062;0.2470221804809355;-0.9976303053065856;0.0688024268023196;-0.993746580436178;-0.1116590071216944;-0.9574851883550392;-0.288482432880609;-0.8900275764346766;-0.455906693508459
28;0.24099888849455947;0;-277.77671407002043;;1.0;0.9711000518829505;0.2386727660059501;0.886070621534138;0.4635502709028509;0.7498264012045687;0.6616346182422783;0.5702422926917871;0.8214765533024142;0.3576982388331254;0.9338372288229252;0.1244792638867893;0.9922222094179324;-0.1159345995955004;0.9932568492674144;-0.3496474552512284;0.9368813462954316;-0.5631507242749186;0.8263541987239096;-0.7441039398713607;0.6680638642135335;-0.8820480249558537;0.4711595076738638;-0.969009825724406;0.2470221804809359;-0.9999629591162656;0.0086069968886886;-0.973118337233262;-0.2303056702306119;-0.8900275764346768;-0.4559066935084586;-0.7554933140726804;-0.655156357209085;-0.5772916165517278;-0.8165380514459157;-0.3657225234972692;-0.9307239310379792;-0.1330147065341963;-0.9911140639934546;0.107381346664163;-0.994217906893952
35;0.30124861061819935;0;-92.73313053632755;;1.0;0.9549667548552552;0.2967128192734902;0.8239230057575542;0.5667017562911176;0.6186714032625034;0.7856498550787144;0.3576982388331254;0.9338372288229252;0.0645084494493163;0.9979171608653922;-0.2344913895704098;0.9721181966290612;-0.5123714121284236;0.858763958275803;-0.7441039398713607;0.6680638642135335;-0.9088176373395028;0.4171936026123168;-0.99167731989929;0.1287481774525808;-0.9852201067560606;-0.1712931441814774;-0.8900275764346766;-0.455906693508459;-0.7146733860429608;-0.6994583270516472;-0.4749510720670502;-0.8800122039735356;-0.1924515819708303;-0.9813064702716092;0.107381346664163;-0.994217906893952;0.3975428142825562;-0.9175836260593936;0.6518989958787125;-0.7583058084785625;0.8475409228928313;-0.530730048161933;0.9668478136052776;-0.2553532951161872
42;0.36149833274183923;0;264.6639226913255;;1.0;0.9353679493131484;0.3536761221763716;0.7498264012045686;0.6616346182422783;0.4673592171580022;0.8840675099433636;0.1244792638867891;0.9922222094179324;-0.2344913895704098;0.9721181966290612;-0.5631507242749186;0.8263541987239096;-0.8190148866680801;0.5737722679043246;-0.9690098257244062;0.2470221804809355;-0.993746580436178;-0.1116590071216944;-0.8900275764346766;-0.455906693508459;-0.6712599575675315;-0.7412220108485957;-0.3657225234972692;-0.9307239310379792;-0.0129102960750088;-0.999916658654738;0.341570769167856;-0.9398560579418952;0.6518989958787125;-0.7583058084785625;0.8779600847008883;-0.4787338401157883;0.9905324521322229;-0.1372787721132643;0.9750645322571948;0.2219215130041654;0.8335557718385698;0.5524353131676198;0.5842981736283681;0.8115390590073613
49;0.42174805486547906;0;289.98167574537797;;1.0;0.9123747579707272;0.4093559588156214;0.6648553979642865;0.7469720876965552;0.3008198076356677;0.9536809966304456;-0.1159345995955004;0.9932568492674144;-0.5123714121284236;0.858763958275803;-0.8190148866680798;0.5737722679043249;-0.9821256058680004;0.1882267098432446;-0.973118337233262;-0.2303056702306119;-0.7935716089521474;-0.6084768701151261;-0.4749510720670502;-0.8800122039735356;-0.0730951298980781;-0.9973249731081556;0.3415707691678551;-0.9398560579418956;0.6963762255968721;-0.7176769136759621;0.929141411403174;-0.369724542890674;0.99907411510223;0.0430222330045297;0.8939185965192572;0.4482293417404102;0.6321034111873489;0.7748840413670405;0.2595117970697999;0.9657399376548548;-0.1585593851031337;0.9873494423939866;-0.5488429582847194;0.8359254794186368
56;0.48199777698911894;0;-90.45993302294394;;1.0;0.886070621534138;0.4635502709028509;0.5702422926917871;0.8214765533024142;0.1244792638867893;0.9922222094179324;-0.3496474552512284;0.9368813462954316;-0.7441039398713607;0.6680638642135335;-0.969009825724406;0.2470221804809359;-0.973118337233262;-0.2303056702306119;-0.7554933140726804;-0.655156357209085;-0.3657225234972692;-0.9307239310379792;0.107381346664163;-0.994217906893952;0.5560174366570446;-0.8311706263658079;0.8779600847008878;-0.478733840115789;0.9998518392091162;-0.0172133561558352;0.8939185965192572;0.4482293417404102;0.5842981736283688;0.8115390590073608;0.1415402952170434;0.989932495087353;-0.3334687789181857;0.942761143390421;-0.7324940716135787;0.6807734094770164;-0.9646141756912432;0.2636654927280081;-0.9769384927771816;-0.2135209154397961
63;0.5422474991127588;7;-359.20123092843056;;1.0;0.8565509959010036;0.5160623910158527;0.4673592171580022;0.8840675099433636;-0.0559169901006031;0.9984354211555644;-0.5631507242749186;0.8263541987239096;-0.9088176373395028;0.4171936026123168;-0.993746580436178;-0.1116590071216944;-0.7935716089521474;-0.6084768701151261;-0.3657225234972692;-0.9307239310379792;0.1670516255021191;-0.9859481499638304;0.6518989958787125;-0.7583058084785625;0.9497178427914316;-0.3131070409358266;0.9750645322571948;0.2219215130041654;0.7206671495538612;0.6932812268869774;0.2595117970697999;0.9657399376548548;-0.2760969730974695;0.9611297838723004;-0.7324940716135787;0.6807734094770164;-0.978740079966915;0.2051044998686202;-0.9441875088341994;-0.3294084822245299;-0.6387494220515266;-0.7694148268839384;-0.1500553983446528;-0.9886775902323404
70;0.6024972212363987;24;-112.43765113388977;;1.0;0.8239230057575542;0.5667017562911176;0.3576982388331254;0.9338372288229252;-0.2344913895704098;0.9721181966290612;-0.7441039398713607;0.6680638642135335;-0.99167731989929;0.1287481774525808;-0.8900275764346766;-0.455906693508459;-0.4749510720670502;-0.8800122039735356;0.107381346664163;-0.994217906893952;0.6518989958787125;-0.7583058084785625;0.9668478136052776;-0.2553532951161872;0.9413173175128472;0.3375228995941129;0.5842981736283681;0.8115390590073613;0.0215160974362218;0.9997685019798908;-0.5488429582847194;0.8359254794186368;-0.9259247771938496;0.3777079652039655;-0.9769384927771816;-0.2135209154397961;-0.68391942162461;-0.729557554086488;-0.1500553983446528;-0.9886775902323404;0.4366512319560644;-0.8996308696522431;0.8695893893466108;-0.4937755501599776
