Day;Phase;New_cases;Theoretical cases;;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9
7;0.06024972212363987;0;1815.7290077345601;;1.0;0.9981855344718586;0.0602132773657929;0.9927487224577402;0.1202080448993527;0.9837092937736098;0.1797665857255621;0.9711000518829505;0.2386727660059501;0.9549667548552552;0.2967128192734902;0.9353679493131484;0.3536761221763715;0.9123747579707272;0.4093559588156214;0.886070621534138;0.4635502709028509;0.8565509959010036;0.5160623910158527
14;0.12049944424727974;0;796.0364829652239;;1.0;0.9927487224577402;0.1202080448993527;0.9711000518829505;0.2386727660059501;0.9353679493131484;0.3536761221763715;0.886070621534138;0.4635502709028509;0.8239230057575542;0.5667017562911176;0.7498264012045687;0.6616346182422783;0.6648553979642865;0.7469720876965552;0.5702422926917871;0.8214765533024142;0.4673592171580022;0.8840675099433636
21;0.18074916637091962;0;405.7759875445617;;1.0;0.9837092937736098;0.1797665857255621;0.9353679493131484;0.3536761221763716;0.8565509959010036;0.5160623910158527;0.7498264012045686;0.6616346182422783;0.6186714032625034;0.7856498550787144;0.4673592171580022;0.8840675099433636;0.3008198076356674;0.9536809966304456;0.1244792638867891;0.9922222094179324;-0.0559169901006031;0.9984354211555644
28;0.24099888849455947;0;374.2136573821624;;1.0;0.9711000518829505;0.2386727660059501;0.886070621534138;0.4635502709028509;0.7498264012045687;0.6616346182422783;0.5702422926917871;0.8214765533024142;0.3576982388331254;0.9338372288229252;0.1244792638867893;0.9922222094179324;-0.1159345995955004;0.9932568492674144;-0.3496474552512284;0.9368813462954316;-0.5631507242749186;0.8263541987239096
35;0.30124861061819935;0;430.7041680130378;;1.0;0.9549667548552552;0.2967128192734902;0.8239230057575542;0.5667017562911176;0.6186714032625034;0.7856498550787144;0.3576982388331254;0.9338372288229252;0.0645084494493163;0.9979171608653922;-0.2344913895704098;0.9721181966290612;-0.5123714121284236;0.858763958275803;-0.7441039398713607;0.6680638642135335;-0.9088176373395028;0.4171936026123168
42;0.36149833274183923;0;379.43314637828604;;1.0;0.9353679493131484;0.3536761221763716;0.7498264012045686;0.6616346182422783;0.4673592171580022;0.8840675099433636;0.1244792638867891;0.9922222094179324;-0.2344913895704098;0.9721181966290612;-0.5631507242749186;0.8263541987239096;-0.8190148866680801;0.5737722679043246;-0.9690098257244062;0.2470221804809355;-0.993746580436178;-0.1116590071216944
49;0.42174805486547906;1;145.66750545010117;;1.0;0.9123747579707272;0.4093559588156214;0.6648553979642865;0.7469720876965552;0.3008198076356677;0.9536809966304456;-0.1159345995955004;0.9932568492674144;-0.5123714121284236;0.858763958275803;-0.8190148866680798;0.5737722679043249;-0.9821256058680004;0.1882267098432446;-0.973118337233262;-0.2303056702306119;-0.7935716089521474;-0.6084768701151261
56;0.48199777698911894;5;-215.5132814436646;;1.0;0.886070621534138;0.4635502709028509;0.5702422926917871;0.8214765533024142;0.1244792638867893;0.9922222094179324;-0.3496474552512284;0.9368813462954316;-0.7441039398713607;0.6680638642135335;-0.969009825724406;0.2470221804809359;-0.973118337233262;-0.2303056702306119;-0.7554933140726804;-0.655156357209085;-0.3657225234972692;-0.9307239310379792
63;0.5422474991127588;45;-546.4227336001541;;1.0;0.8565509959010036;0.5160623910158527;0.4673592171580022;0.8840675099433636;-0.0559169901006031;0.9984354211555644;-0.5631507242749186;0.8263541987239096;-0.9088176373395028;0.4171936026123168;-0.993746580436178;-0.1116590071216944;-0.7935716089521474;-0.6084768701151261;-0.3657225234972692;-0.9307239310379792;0.1670516255021191;-0.9859481499638304
70;0.6024972212363987;183;-639.0245680270685;;1.0;0.8239230057575542;0.5667017562911176;0.3576982388331254;0.9338372288229252;-0.2344913895704098;0.9721181966290612;-0.7441039398713607;0.6680638642135335;-0.99167731989929;0.1287481774525808;-0.8900275764346766;-0.455906693508459;-0.4749510720670502;-0.8800122039735356;0.107381346664163;-0.994217906893952;0.6518989958787125;-0.7583058084785625
